frame,real_seconds,art_scale,target_scale,dust_vertices,cloud_x,cloud_y
92,2.796209,0.999987,1.000000,1157,15.847510,7.640762
93,2.844240,0.999992,1.000000,1157,15.996870,7.712775
94,2.844858,0.999992,1.000000,1157,16.006190,7.717271
95,2.892241,0.999994,1.000000,1157,16.127530,7.775774
96,2.938412,0.999996,1.000000,1157,16.267520,7.843271
97,2.938824,0.999996,1.000000,1157,16.276850,7.847767
98,2.987974,0.999997,1.000000,1157,16.379610,7.897310
99,3.035063,0.999998,1.000000,1157,16.528830,7.969259
100,3.035482,0.999998,1.000000,1157,16.538160,7.973755
101,3.082872,0.999999,1.000000,1157,16.659540,8.032278
102,3.129492,0.999999,1.000000,1157,16.808810,8.104245
103,3.129974,0.999999,1.000000,1157,16.818130,8.108742
104,3.180429,1.000000,1.000000,1157,16.930200,8.162775
105,3.229187,1.000000,1.000000,1157,17.079550,8.234782
106,3.229713,1.000000,1.000000,1157,17.088870,8.239278
107,3.278044,1.000000,1.000000,1157,17.210210,8.297780
108,3.323694,1.000000,1.000000,1157,17.350240,8.365293
109,3.324268,1.000000,1.000000,1157,17.359560,8.369789
110,3.371216,1.000000,1.000000,1157,17.471480,8.423750
111,3.416718,1.000000,1.000000,1157,17.611530,8.491274
112,3.417271,1.000000,1.000000,1157,17.620850,8.495770
113,3.464432,1.000000,1.000000,1157,17.732820,8.549755
114,3.509949,1.000000,1.000000,1157,17.872890,8.617285
115,3.510393,1.000000,1.000000,1157,17.882210,8.621780
116,3.559813,1.000000,1.000000,1157,17.994130,8.675743
117,3.608059,1.000000,1.000000,1157,18.143520,8.747767
118,3.608433,1.000000,1.000000,1157,18.152840,8.752264
119,3.655756,1.000000,1.000000,1157,18.264810,8.806248
120,3.702471,1.000000,1.000000,1157,18.404800,8.873745
121,3.702850,1.000000,1.000000,1157,18.414130,8.878241
122,3.750704,1.000000,1.000000,1157,18.526120,8.932237
123,3.797087,1.000000,1.000000,1157,18.666140,8.999748
124,3.797504,1.000000,1.000000,1157,18.675470,9.004244
125,3.846262,1.000000,1.000000,1157,18.787450,9.058233
126,3.894209,1.000000,1.000000,1157,18.936820,9.130250
127,3.894638,1.000000,1.000000,1157,18.946140,9.134747
128,3.943129,1.000000,1.000000,1157,19.067520,9.193268
129,3.990019,1.000000,1.000000,1157,19.216830,9.265255
130,3.990437,1.000000,1.000000,1157,19.226150,9.269752
131,4.037849,1.000000,1.000000,1157,19.338100,9.323728
132,4.083855,1.000000,1.000000,1157,19.478140,9.391245
133,4.084455,1.000000,1.000000,1157,19.487460,9.395741
134,4.133244,1.000000,1.000000,1157,19.599440,9.449730
135,4.181137,1.000000,1.000000,1157,19.748800,9.521745
136,4.181562,1.000000,1.000000,1157,19.758130,9.526241
137,4.229204,1.000000,1.000000,1157,19.870060,9.580210
138,4.276001,1.000000,1.000000,1157,20.019430,9.652227
139,4.276531,1.000000,1.000000,1157,20.028760,9.656723
140,4.324541,1.000000,1.000000,1157,20.140760,9.710726
141,4.370333,1.000000,1.000000,1157,20.280770,9.778229
142,4.371027,1.000000,1.000000,1157,20.290090,9.782724
143,4.418732,1.000000,1.000000,1157,20.402050,9.836705
144,4.464399,1.000000,1.000000,1157,20.532770,9.899731
145,4.464836,1.000000,1.000000,1157,20.542100,9.904226
146,4.513323,1.000000,1.000000,1157,20.663410,9.962716
147,4.559477,1.000000,1.000000,1157,20.803450,10.030240
148,4.559849,1.000000,1.000000,1157,20.812780,10.034730
149,4.606607,1.000000,1.000000,1157,20.924710,10.088700
150,4.652044,1.000000,1.000000,1157,21.064710,10.156200
151,4.652353,1.000000,1.000000,1157,21.074040,10.160700
152,4.700491,1.000000,1.000000,1157,21.176760,10.210220
153,4.746752,1.000000,1.000000,1157,21.326070,10.282210
154,4.747175,1.000000,1.000000,1157,21.335390,10.286710
155,4.793976,1.000000,1.000000,1157,21.447330,10.340680
156,4.839596,1.000000,1.000000,1157,21.587440,10.408230
157,4.839981,1.000000,1.000000,1157,21.596770,10.412730
158,4.888798,1.000000,1.000000,1157,21.708680,10.466690
159,4.936733,1.000000,1.000000,1157,21.858020,10.538690
160,4.937222,1.000000,1.000000,1157,21.867350,10.543190
161,4.984974,1.000000,1.000000,1157,21.979390,10.597210
162,5.031267,1.000000,1.000000,1157,22.119420,10.664720
163,5.031677,1.000000,1.000000,1157,22.128740,10.669220
164,5.082216,1.000000,1.000000,1157,22.250020,10.727690
165,5.131502,1.000000,1.000000,1157,22.399390,10.799710
166,5.131870,1.000000,1.000000,1157,22.408720,10.804200
167,5.179304,1.000000,1.000000,1157,22.530050,10.862700
168,5.225685,1.000000,1.000000,1157,22.679430,10.934720
169,5.226059,1.000000,1.000000,1157,22.688750,10.939220
170,5.275908,1.000000,1.000000,1157,22.800730,10.993210
171,5.304619,1.000000,1.000000,1157,22.940680,11.060690
172,5.304960,1.000000,1.000000,1157,22.950010,11.065180
173,5.355101,1.000000,1.000000,1157,23.015380,11.096700
174,5.405277,1.000000,1.000000,1157,23.174020,11.173190
175,5.405592,1.000000,1.000000,1157,23.183350,11.177690
176,5.456856,1.000000,1.000000,1157,23.295420,11.231720
177,5.506111,1.000000,1.000000,1157,23.444700,11.303700
178,5.506548,1.000000,1.000000,1157,23.454030,11.308190
179,5.553568,1.000000,1.000000,1157,23.575330,11.366680
180,5.599279,1.000000,1.000000,1157,23.715320,11.434170
