time,elapsed,local,host,sean,pick,charged,held,s2charges,ultcharge,grounded,casterY,pose,craters,craterX,craterZ,embers,fireFlight,shoeState,shoeX,shoeY,shoeZ,frontStun,chargeRemaining,wallTime
9.87649213931834,0.01999664,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,-2.237848,1.213441,8.338382,0,0,63925000032.1759
9.92699304684376,0.3999329,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.7966816,1.113012,-7.597668,0,0,63925000032.2253
9.97749496461203,0.4599228,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.8903127,0.9161576,-7.863834,0,0,63925000032.2748
10.0279937557069,0.4999161,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.8963026,0.8788089,-7.978779,0,0,63925000032.3252
10.0784946651136,0.559906,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.8654458,1.090343,-7.707808,0,0,63925000032.3741
10.1289953732242,0.5998993,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.669005,1.266511,-7.496253,0,0,63925000032.4243
10.1794961829235,0.6598892,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000032.4741
10.2299969926228,0.6998825,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000032.5246
10.280497593501,0.7598724,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000032.5752
10.3309982019042,0.7998657,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000032.6242
10.3814985017789,0.8598557,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000032.6742
10.4319992098895,0.8998489,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000032.7249
10.4825001174149,0.9598389,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000032.7743
10.5330008274068,0.9998322,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000032.8253
10.5835012288702,1.039825,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000032.8758
10.6340021382769,1.079819,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000032.9248
10.6847693905917,1.139809,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000032.9747
10.7352713102413,1.179802,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000033.0256
10.7857723174741,1.259789,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000033.0758
10.836274135535,1.299782,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000033.1248
10.8867743357023,1.359772,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000033.1754
10.937275245109,1.399765,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000033.2243
10.9877770631698,1.459755,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000033.2749
11.0382784824011,1.499748,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000033.3245
11.0887804001694,1.559738,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000033.3746
11.1392796916825,1.599731,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000033.4254
11.189780800504,1.659721,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000033.4753
11.2404267465447,1.699715,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000033.5248
11.2909270464194,1.759705,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000033.5755
11.3414281646473,1.799698,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000033.6259
11.3919298830008,1.859688,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000033.6747
11.4426302655165,1.899681,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000033.725
11.4931322829922,1.959671,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000033.7753
11.5436344001753,1.999664,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000033.826
11.5941352079933,2.059654,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000033.8753
11.6446362171074,2.099648,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000033.9258
11.6951372318653,2.139641,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000033.9756
11.745638342568,2.179634,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000034.0259
11.7961391503861,2.239624,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000034.0757
11.8466404605036,2.279617,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000034.1257
11.8971412683216,2.339607,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000034.1758
11.9476420761396,2.379601,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000034.2258
11.9981426845429,2.43959,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000034.2759
12.0486441940752,2.479584,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000034.3258
12.0991451034819,2.539574,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000034.3752
12.1496458134738,2.599564,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000034.4255
12.200146421877,2.659554,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000034.4756
12.2668142070932,2.719543,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000034.5424
12.3334814082769,2.79953,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000034.6081
12.400149095313,2.879517,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000034.6745
12.4668298204367,2.939507,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000034.7427
12.5334978145299,2.999496,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000034.8093
12.6001651154024,3.079483,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000034.8753
12.6668322243852,3.139473,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000034.9421
12.7334998122541,3.199463,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000035.0084
12.8001674137202,3.259453,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000035.0752
12.866835112789,3.319443,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000035.1418
12.9335037224864,3.379433,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000035.2079
12.9998377769937,3.459419,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000035.2754
13.0658386047122,3.519409,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000035.3416
13.1318425967668,3.579399,1,0,1,2,0,1,2,15,1,0.12,-1,0,0,0,0,0,1,0.5647082,1.31344,-7.442726,0,0,63925000035.4081
