time,elapsed,local,host,charge,windup,active,remaining,circles,sky,frontStun,rearStun,casterStun,frontElement,centreX,centreZ,casterX,casterZ,gameTime,realTime,frameDelta,frontX,frontZ,rearX,rearZ,phaister,charIndex,heroMode,roomPick
13.9180849599419,0.05998993,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,10.0412310161565,13.929195505839,0.045218,3.5,-8,0,7,1,5,1,5
13.9687443505554,0.09998322,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,10.0924021187642,13.971673205839,0.0511711,3.5,-8,0,7,1,5,1,5
14.0219288243679,0.1599731,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,10.1455148171769,14.022904205839,0.003636997,3.5,-8,0,7,1,5,1,5
14.0736332720029,0.1999664,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,10.1971775155896,14.074850005839,0.004548796,3.5,-8,0,7,1,5,1,5
14.1257273755921,0.2599564,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,10.2492777210884,14.126938205839,0.004192999,3.5,-8,0,7,1,5,1,5
14.1808197925589,0.3199463,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,10.3043448200113,14.182691805839,0.005455301,3.5,-8,0,7,1,5,1,5
14.231921358346,0.3599396,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,10.3554821215986,14.233320605839,0.0038419,3.5,-8,0,7,1,5,1,5
14.2822325875238,0.4199295,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,10.4058348214286,14.284650005839,0.006127005,3.5,-8,0,7,1,5,1,5
14.3330575625831,0.4599228,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,10.4566201176304,14.333967305839,0.002701899,3.5,-8,0,7,1,5,1,5
14.3842628707248,0.5199127,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,10.5078242205215,14.385602705839,0.004533702,3.5,-8,0,7,1,5,1,5
