time,elapsed,local,host,charge,windup,active,remaining,circles,sky,frontStun,rearStun,casterStun,frontElement,centreX,centreZ,casterX,casterZ,gameTime,realTime,frameDelta,frontX,frontZ,rearX,rearZ,phaister,charIndex,heroMode,roomPick,castAge
14.2299779280019,0.05998993,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,10.122173228458,14.2411977020408,0.0534557,3.5,-8,0,7,1,5,1,5,-1
14.280268046495,0.09998322,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,10.1729713293651,14.2827007020408,0.0507981,3.5,-8,0,7,1,5,1,5,-1
14.3306779027265,0.1599731,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,10.223337329932,14.3324851020408,0.003752799,3.5,-8,0,7,1,5,1,5,-1
14.3815878961724,0.1999664,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,10.2742439271542,14.3825848020408,0.004476594,3.5,-8,0,7,1,5,1,5,-1
14.4357185756392,0.2599564,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,10.3283173327664,14.4370277020408,0.007356505,3.5,-8,0,7,1,5,1,5,-1
14.4893406441761,0.3199463,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,10.3820548327664,14.4911580020408,0.006044402,3.5,-8,0,7,1,5,1,5,-1
14.5406060214061,0.3599396,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,10.4332521329365,14.5415419020408,0.004059907,3.5,-8,0,7,1,5,1,5,-1
14.5955133742909,0.4199295,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,10.4881561295351,14.5973786020408,0.0058929,3.5,-8,0,7,1,5,1,5,-1
14.6468479050114,0.4599228,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,10.5395198270975,14.6477278020408,0.003679896,3.5,-8,0,7,1,5,1,5,-1
14.7002706195856,0.5199127,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,10.5929242276077,14.7015422020408,0.0037464,3.5,-8,0,7,1,5,1,5,-1
14.7571042471775,0.5799026,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,10.6497143282313,14.7579489020408,0.007132696,3.5,-8,0,7,1,5,1,5,-1
14.8105730344774,0.6398926,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,10.7032294288549,14.8131509020408,0.004048001,3.5,-8,0,7,1,5,1,5,-1
14.8629793605045,0.6798859,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,10.7556775297619,14.8643598020408,0.003476701,3.5,-8,0,7,1,5,1,5,-1
14.9138360159914,0.7398758,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,10.8065215277778,14.9150984020408,0.003053897,3.5,-8,0,7,1,5,1,5,-1
14.9642842738237,0.7798691,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,10.8569532312925,14.9653616020408,0.003170699,3.5,-8,0,7,1,5,1,5,-1
15.0165057007736,0.839859,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,10.9092719316893,15.0190459020408,0.0129164,3.5,-8,0,7,1,5,1,5,-1
15.0672286468209,0.8798523,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,10.9598910289116,15.0682634020408,0.004152501,3.5,-8,0,7,1,5,1,5,-1
15.1200996923633,0.9398422,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,11.0127507298753,15.1207187020408,0.002925,3.5,-8,0,7,1,5,1,5,-1
15.1704063190497,0.9998322,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,11.063096832483,15.1723487020408,0.004122506,3.5,-8,0,7,1,5,1,5,-1
15.2208545105415,1.039825,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,11.1135500283447,15.2219077020408,0.003177098,3.5,-8,0,7,1,5,1,5,-1
15.2728979801806,1.099815,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,11.1655309311224,15.2738220020408,0.004529904,3.5,-8,0,7,1,5,1,5,-1
15.3270094837085,1.139809,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,11.2196355300454,15.3278612020408,0.004617602,3.5,-8,0,7,1,5,1,5,-1
15.379897614012,1.199799,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,11.2725664328231,15.3808403020408,0.003035006,3.5,-8,0,7,1,5,1,5,-1
15.430764619275,1.259789,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,11.3234036281179,15.4326370020408,0.0036473,3.5,-8,0,7,1,5,1,5,-1
15.4808260697499,1.299782,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,11.3734656320862,15.4825371020408,0.003227799,3.5,-8,0,7,1,5,1,5,-1
15.5332757749083,1.359772,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,11.4259802295918,15.5343177020408,0.005616603,3.5,-8,0,7,1,5,1,5,-1
15.5866210663202,1.399765,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,11.4793213293651,15.5876354020408,0.004230903,3.5,-8,0,7,1,5,1,5,-1
15.6397320183483,1.459755,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,11.5323921272676,15.6406382020408,0.004762698,3.5,-8,0,7,1,5,1,5,-1
15.6935966548091,1.519745,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,11.5862409297052,15.6948654020408,0.006182398,3.5,-8,0,7,1,5,1,5,-1
