time,elapsed,local,host,charge,windup,active,remaining,circles,sky,frontStun,rearStun,casterStun,frontElement,centreX,centreZ,casterX,casterZ,gameTime,realTime,frameDelta,frontX,frontZ,rearX,rearZ,phaister,charIndex,heroMode,roomPick,castAge
35.6645317521055,21.53638,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-8,1.59844038407029,4.97748220068027,0.003144997,3.5,-8,0,7,1,5,1,5,-1
35.7165584677846,21.59637,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-8,1.64995198412698,5.02865540068027,0.003450298,3.5,-8,0,7,1,5,1,5,-1
35.7695049907655,21.65636,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-8,1.70237428429705,5.08198990068027,0.0029688,3.5,-8,0,7,1,5,1,5,-1
35.8218006678477,21.69636,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-8,1.75415218253968,5.13273380068027,0.003966398,3.5,-8,0,7,1,5,1,5,-1
35.8742974364028,21.75635,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-8,1.806129180839,5.18496320068027,0.003947697,3.5,-8,0,7,1,5,1,5,-1
35.9258000643823,21.79634,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-8,1.85712188208617,5.23577190068027,0.003035395,3.5,-8,0,7,1,5,1,5,-1
35.9780981678345,21.85633,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-8,1.90890218253968,5.28789180068027,0.003346301,3.5,-8,0,7,1,5,1,5,-1
36.0316039267827,21.91632,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-8,1.96187818168934,5.34115950068027,0.003473299,3.5,-8,0,7,1,5,1,5,-1
36.082537020479,21.95631,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-8,2.01230698696145,5.39111220068027,0.0035,3.5,-8,0,7,1,5,1,5,-1
36.1326556439736,22.0163,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-8,2.06192938633787,5.44144650068027,0.003170203,3.5,-8,0,7,1,5,1,5,-1
36.1858267907837,22.0563,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-8,2.11457408588435,5.49343760068027,0.003220599,3.5,-8,0,7,1,5,1,5,-1
36.2370236921396,22.11629,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-8,2.16526408730159,5.54399380068027,0.0049411,3.5,-8,0,7,1,5,1,5,-1
36.2878968809747,22.15628,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-8,2.21563358134921,5.59456250068027,0.003286494,3.5,-8,0,7,1,5,1,5,-1
36.3394378925386,22.21627,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-8,2.26666428571429,5.64535310068027,0.004585502,3.5,-8,0,7,1,5,1,5,-1
36.3901568620179,22.25626,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-8,2.31688108701814,5.69553020068027,0.002916206,3.5,-8,0,7,1,5,1,5,-1
36.4407504833109,22.31625,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-8,2.36697378117914,5.74567740068027,0.003103798,3.5,-8,0,7,1,5,1,5,-1
36.4920199179385,22.35625,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-8,2.41819608134921,5.79684230068027,0.003577593,3.5,-8,0,7,1,5,1,5,-1
36.5435096281363,22.41624,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-8,2.46971418650794,5.84858800068027,0.002872605,3.5,-8,0,7,1,5,1,5,-1
36.5936014902258,22.45623,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-8,2.51983568594104,5.89846160068027,0.003974801,3.5,-8,0,7,1,5,1,5,-1
36.6456264070204,22.51622,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-8,2.57186948696145,5.95077030068027,0.0034688,3.5,-8,0,7,1,5,1,5,-1
36.6962152108961,22.57621,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-8,2.62241508645125,6.00168170068027,0.0024536,3.5,-8,0,7,1,5,1,5,-1
36.7490205432537,22.6162,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-8,2.67523478599773,6.05378000068027,0.002998902,3.5,-8,0,7,1,5,1,5,-1
36.8025380506824,22.67619,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-8,2.72875338718821,6.10823210068027,0.003705003,3.5,-8,0,7,1,5,1,5,-1
