frame,real_seconds,focus_amount,control_scale,label_scale
126,0.797018,1.000000,1.000000,1.000000
127,0.800331,1.000000,1.000000,1.000000
128,0.803664,1.000000,1.000000,1.000000
129,0.806934,1.000000,1.000000,1.000000
130,0.810233,1.000000,1.000000,1.000000
131,0.837153,1.000000,1.000000,1.000000
132,0.863912,1.000000,1.000000,1.000000
133,0.864633,1.000000,1.000000,1.000000
134,0.867041,1.000000,1.000000,1.000000
135,0.870492,1.000000,1.000000,1.000000
136,0.873792,1.000000,1.000000,1.000000
137,0.877173,1.000000,1.000000,1.000000
138,0.880552,1.000000,1.000000,1.000000
139,0.884219,1.000000,1.000000,1.000000
140,0.887480,1.000000,1.000000,1.000000
141,0.890430,1.000000,1.000000,1.000000
142,0.893823,1.000000,1.000000,1.000000
143,0.897330,1.000000,1.000000,1.000000
144,0.900362,1.000000,1.000000,1.000000
145,0.903676,1.000000,1.000000,1.000000
146,0.907095,1.000000,1.000000,1.000000
147,0.910304,1.000000,1.000000,1.000000
148,0.937940,1.000000,1.000000,1.000000
149,0.965394,1.000000,1.000000,1.000000
150,0.965708,1.000000,1.000000,1.000000
151,0.967337,1.000000,1.000000,1.000000
152,0.970804,1.000000,1.000000,1.000000
153,0.974050,1.000000,1.000000,1.000000
154,0.976911,1.000000,1.000000,1.000000
155,0.980536,1.000000,1.000000,1.000000
156,0.983657,1.000000,1.000000,1.000000
157,0.986944,1.000000,1.000000,1.000000
158,0.990484,1.000000,1.000000,1.000000
159,0.993714,1.000000,1.000000,1.000000
160,0.997401,1.000000,1.000000,1.000000
161,1.000753,1.000000,1.000000,1.000000
162,1.003773,1.000000,1.000000,1.000000
163,1.007572,1.000000,1.000000,1.000000
164,1.010641,1.000000,1.000000,1.000000
165,1.038760,1.000000,1.000000,1.000000
166,1.066936,1.000000,1.000000,1.000000
167,1.067356,1.000000,1.000000,1.000000
168,1.070278,1.000000,1.000000,1.000000
169,1.073687,1.000000,1.000000,1.000000
170,1.077024,1.000000,1.000000,1.000000
171,1.080352,1.000000,1.000000,1.000000
172,1.083576,1.000000,1.000000,1.000000
173,1.087071,1.000000,1.000000,1.000000
174,1.090490,1.000000,1.000000,1.000000
175,1.093627,1.000000,1.000000,1.000000
176,1.096998,1.000000,1.000000,1.000000
177,1.100339,1.000000,1.000000,1.000000
178,1.103548,1.000000,1.000000,1.000000
179,1.107024,1.000000,1.000000,1.000000
180,1.110328,1.000000,1.000000,1.000000
181,1.113567,1.000000,1.000000,1.000000
182,1.140619,1.000000,1.000000,1.000000
183,1.167695,1.000000,1.000000,1.000000
184,1.168106,1.000000,1.000000,1.000000
185,1.170104,1.000000,1.000000,1.000000
186,1.173788,1.000000,1.000000,1.000000
187,1.177066,1.000000,1.000000,1.000000
188,1.180335,1.000000,1.000000,1.000000
189,1.183619,1.000000,1.000000,1.000000
190,1.187253,1.000000,1.000000,1.000000
191,1.190709,1.000000,1.000000,1.000000
192,1.193873,1.000000,1.000000,1.000000
193,1.196874,1.000000,1.000000,1.000000
