frame,real_seconds,art_scale,target_scale,dust_vertices,cloud_x,cloud_y
95,2.803978,0.999984,1.000000,377,4.820126,0.241471
96,2.804304,0.999984,1.000000,377,4.823689,0.241650
97,2.846928,0.999988,1.000000,377,4.862954,0.243625
98,2.890461,0.999992,1.000000,377,4.912872,0.246136
99,2.890808,0.999992,1.000000,377,4.916436,0.246315
100,2.934004,0.999994,1.000000,377,4.955665,0.248288
101,2.976942,0.999996,1.000000,377,5.005578,0.250799
102,2.977287,0.999996,1.000000,377,5.009140,0.250979
103,3.020029,0.999997,1.000000,377,5.048358,0.252952
104,3.063667,0.999998,1.000000,377,5.098249,0.255463
105,3.064013,0.999998,1.000000,377,5.101810,0.255642
106,3.107595,0.999999,1.000000,377,5.141026,0.257615
107,3.150997,0.999999,1.000000,377,5.190882,0.260125
108,3.151360,0.999999,1.000000,377,5.194440,0.260304
109,3.194401,0.999999,1.000000,377,5.233647,0.262278
110,3.238449,1.000000,1.000000,377,5.287046,0.264966
111,3.238773,1.000000,1.000000,377,5.290604,0.265145
112,3.282251,1.000000,1.000000,377,5.329794,0.267119
113,3.325468,1.000000,1.000000,377,5.379612,0.269628
114,3.325781,1.000000,1.000000,377,5.383169,0.269807
115,3.368626,1.000000,1.000000,377,5.422315,0.271778
116,3.412636,1.000000,1.000000,377,5.472140,0.274288
117,3.412949,1.000000,1.000000,377,5.475695,0.274467
118,3.456619,1.000000,1.000000,377,5.514858,0.276440
119,3.499191,1.000000,1.000000,377,5.564626,0.278948
120,3.499458,1.000000,1.000000,377,5.568179,0.279127
121,3.542398,1.000000,1.000000,377,5.607320,0.281099
122,3.586304,1.000000,1.000000,377,5.657082,0.283607
123,3.586565,1.000000,1.000000,377,5.660634,0.283786
124,3.629717,1.000000,1.000000,377,5.699773,0.285759
125,3.672640,1.000000,1.000000,377,5.749503,0.288266
126,3.672907,1.000000,1.000000,377,5.753054,0.288445
127,3.715347,1.000000,1.000000,377,5.792158,0.290417
128,3.758917,1.000000,1.000000,377,5.841877,0.292924
129,3.759184,1.000000,1.000000,377,5.845426,0.293103
130,3.802652,1.000000,1.000000,377,5.884501,0.295073
131,3.845650,1.000000,1.000000,377,5.934210,0.297581
132,3.845919,1.000000,1.000000,377,5.937757,0.297760
133,3.888571,1.000000,1.000000,377,5.976828,0.299731
134,3.932207,1.000000,1.000000,377,6.026506,0.302237
135,3.932461,1.000000,1.000000,377,6.030052,0.302416
136,3.975689,1.000000,1.000000,377,6.069149,0.304389
137,4.018501,1.000000,1.000000,377,6.118768,0.306893
138,4.018774,1.000000,1.000000,377,6.122313,0.307072
139,4.061134,1.000000,1.000000,377,6.161351,0.309043
140,4.104532,1.000000,1.000000,377,6.210979,0.311548
141,4.104801,1.000000,1.000000,377,6.214521,0.311727
142,4.147881,1.000000,1.000000,377,6.249986,0.313517
143,4.190510,1.000000,1.000000,377,6.299611,0.316023
144,4.190771,1.000000,1.000000,377,6.303152,0.316202
145,4.233128,1.000000,1.000000,377,6.342147,0.318172
146,4.276569,1.000000,1.000000,377,6.391738,0.320676
147,4.276854,1.000000,1.000000,377,6.395278,0.320855
148,4.319941,1.000000,1.000000,377,6.434237,0.322824
149,4.362644,1.000000,1.000000,377,6.483828,0.325329
150,4.362972,1.000000,1.000000,377,6.487365,0.325508
151,4.405890,1.000000,1.000000,377,6.526331,0.327477
152,4.449797,1.000000,1.000000,377,6.575863,0.329981
153,4.450066,1.000000,1.000000,377,6.579400,0.330159
154,4.493071,1.000000,1.000000,377,6.618372,0.332129
155,4.535883,1.000000,1.000000,377,6.667874,0.334632
156,4.536165,1.000000,1.000000,377,6.671409,0.334811
157,4.578730,1.000000,1.000000,377,6.710334,0.336779
158,4.622288,1.000000,1.000000,377,6.759832,0.339283
159,4.622551,1.000000,1.000000,377,6.763364,0.339461
