frame,real_seconds,art_scale,target_scale,dust_vertices
167,1.230135,1.000000,1.000000,0
168,1.233452,1.000000,1.000000,0
169,1.236790,1.000000,1.000000,0
170,1.240116,1.000000,1.000000,0
171,1.263172,1.000000,1.000000,0
172,1.286425,1.000000,1.000000,0
173,1.286722,1.000000,1.000000,0
174,1.290157,1.000000,1.000000,0
175,1.293489,1.000000,1.000000,0
176,1.296804,1.000000,1.000000,0
177,1.300110,1.000000,1.000000,0
178,1.303465,1.000000,1.000000,0
179,1.306801,1.000000,1.000000,0
180,1.330481,1.000000,1.000000,0
181,1.354488,1.000000,1.000000,0
182,1.354752,1.000000,1.000000,0
183,1.356800,1.000000,1.000000,0
184,1.360203,1.000000,1.000000,0
185,1.363594,1.000000,1.000000,0
186,1.366840,1.000000,1.000000,0
187,1.370119,1.000000,1.000000,0
188,1.373434,1.000000,1.000000,0
189,1.376818,1.000000,1.000000,0
190,1.399830,1.000000,1.000000,0
191,1.423370,1.000000,1.000000,0
192,1.423618,1.000000,1.000000,0
193,1.426794,1.000000,1.000000,0
194,1.430145,1.000000,1.000000,0
195,1.433474,1.000000,1.000000,0
196,1.436789,1.000000,1.000000,0
197,1.440159,1.000000,1.000000,0
198,1.443501,1.000000,1.000000,0
199,1.466568,1.000000,1.000000,0
200,1.489885,1.000000,1.000000,0
201,1.490118,1.000000,1.000000,0
202,1.493452,1.000000,1.000000,0
203,1.496815,1.000000,1.000000,0
204,1.500120,1.000000,1.000000,0
205,1.503534,1.000000,1.000000,0
206,1.506804,1.000000,1.000000,0
207,1.510101,1.000000,1.000000,0
208,1.513454,1.000000,1.000000,0
209,1.537222,1.000000,1.000000,0
210,1.561270,1.000000,1.000000,0
211,1.561527,1.000000,1.000000,0
212,1.563457,1.000000,1.000000,0
213,1.566818,1.000000,1.000000,0
214,1.570120,1.000000,1.000000,0
215,1.573442,1.000000,1.000000,0
216,1.576790,1.000000,1.000000,0
217,1.580109,1.000000,1.000000,0
218,1.603436,1.000000,1.000000,0
219,1.627052,1.000000,1.000000,0
220,1.627310,1.000000,1.000000,0
221,1.630196,1.000000,1.000000,0
222,1.633612,1.000000,1.000000,0
223,1.636835,1.000000,1.000000,0
224,1.640209,1.000000,1.000000,0
225,1.643497,1.000000,1.000000,0
226,1.646906,1.000000,1.000000,0
227,1.670090,1.000000,1.000000,0
228,1.693920,1.000000,1.000000,0
229,1.694168,1.000000,1.000000,0
230,1.696798,1.000000,1.000000,0
231,1.700159,1.000000,1.000000,0
232,1.703501,1.000000,1.000000,0
233,1.706869,1.000000,1.000000,0
234,1.710173,1.000000,1.000000,0
235,1.713472,1.000000,1.000000,0
236,1.738049,1.000000,1.000000,0
237,1.763086,1.000000,1.000000,0
238,1.763344,1.000000,1.000000,0
239,1.766788,1.000000,1.000000,0
240,1.770168,1.000000,1.000000,0
241,1.773584,1.000000,1.000000,0
242,1.777069,1.000000,1.000000,0
243,1.780275,1.000000,1.000000,0
244,1.803698,1.000000,1.000000,0
245,1.827381,1.000000,1.000000,0
246,1.827639,1.000000,1.000000,0
247,1.830097,1.000000,1.000000,0
248,1.833448,1.000000,1.000000,0
249,1.836823,1.000000,1.000000,0
250,1.840107,1.000000,1.000000,0
251,1.843439,1.000000,1.000000,0
252,1.846777,1.000000,1.000000,0
253,1.850100,1.000000,1.000000,0
254,1.873196,1.000000,1.000000,0
255,1.896521,1.000000,1.000000,0
256,1.896776,1.000000,1.000000,0
257,1.900108,1.000000,1.000000,0
258,1.903454,1.000000,1.000000,0
259,1.906815,1.000000,1.000000,0
260,1.910105,1.000000,1.000000,0
261,1.913437,1.000000,1.000000,0
262,1.916794,1.000000,1.000000,0
263,1.920090,1.000000,1.000000,0
264,1.943817,1.000000,1.000000,0
265,1.967871,1.000000,1.000000,0
266,1.968126,1.000000,1.000000,0
267,1.970104,1.000000,1.000000,0
268,1.973516,1.000000,1.000000,0
269,1.976784,1.000000,1.000000,0
270,1.980141,1.000000,1.000000,0
271,1.983452,1.000000,1.000000,0
272,1.986811,1.000000,1.000000,0
273,1.990126,1.000000,1.000000,0
