time,elapsed,host,local,round,held,charge,spin,torso,arm,shoeState,shoeSpin,bodyX,bodyZ
13.3766,2.4884,1,0,1,1,0.0324,0.0000,-0.049,-0.180,1,0.0000,-2.0481,8.9504
13.4266,2.5385,1,0,1,1,0.0524,0.0000,-0.127,-0.464,1,0.0000,-2.1700,8.9260
13.4768,2.5886,1,0,1,1,0.0725,0.0000,-0.240,-0.876,1,0.0000,-2.3189,8.8962
13.5270,2.6388,1,0,1,1,0.0925,0.0000,-0.386,-1.409,1,0.0000,-2.3954,8.8809
13.5771,2.6889,1,0,1,1,0.1126,0.0000,-0.563,-2.055,1,0.0000,-2.5669,8.8466
13.6272,2.7390,1,0,1,1,0.1326,0.0000,-0.769,-2.810,1,0.0000,-2.6435,8.8313
13.6778,2.7896,1,0,1,1,0.1528,0.0000,-1.007,-3.678,1,0.0000,-2.8150,8.7970
13.7281,2.8399,1,0,1,1,0.1730,0.0000,-1.271,-4.641,1,0.0000,-2.9143,8.7771
13.7788,2.8907,1,0,1,1,0.1933,0.0000,-1.562,-5.705,1,0.0000,-3.0404,8.7519
13.8302,2.9420,1,0,1,1,0.2183,0.0000,-1.955,-7.141,1,0.0000,-3.1893,8.7221
13.8808,2.9926,1,0,1,1,0.2386,0.0000,-2.298,-8.393,1,0.0000,-3.2885,8.7023
13.9315,3.0433,1,0,1,1,0.2589,0.0000,-2.661,-9.721,1,0.0000,-3.4374,8.6725
13.9817,3.0935,1,0,1,1,0.2789,0.0000,-3.040,-11.105,1,0.0000,-3.5366,8.6527
14.0322,3.1440,1,0,1,1,0.2991,0.0000,-3.439,-12.561,1,0.0000,-3.6855,8.6229
14.0826,3.1944,1,0,1,1,0.3193,0.0000,-3.853,-14.072,1,0.0000,-3.7847,8.6031
14.1336,3.2454,1,0,1,1,0.3397,0.0000,-4.285,-15.651,1,0.0000,-3.9562,8.5688
14.1837,3.2955,1,0,1,1,0.3598,0.0000,-4.723,-17.249,1,0.0000,-4.0328,8.5534
14.2352,3.3470,1,0,1,1,0.3803,0.0000,-5.183,-18.931,1,0.0000,-4.1816,8.5237
14.2857,3.3975,1,0,1,1,0.4006,0.0000,-5.645,-20.618,1,0.0000,-4.2809,8.5038
14.3367,3.4485,1,0,1,1,0.4208,0.0000,-6.116,-22.338,1,0.0000,-4.2809,8.5038
14.3871,3.4989,1,0,1,1,0.4410,0.0000,-6.589,-24.069,1,0.0000,-4.2809,8.5038
14.4376,3.5494,1,0,1,1,0.4612,0.0000,-7.070,-25.824,1,0.0000,-4.2809,8.5038
14.4888,3.6006,1,0,1,1,0.4817,0.0000,-7.560,-27.613,1,0.0000,-4.2809,8.5038
14.5392,3.6510,1,0,1,1,0.5018,0.0000,-8.043,-29.378,1,0.0000,-4.2809,8.5038
14.5893,3.7011,1,0,1,1,0.5219,0.0000,-8.524,-31.136,1,0.0000,-4.2809,8.5038
14.6397,3.7515,1,0,1,1,0.5420,0.0000,-9.006,-32.894,1,0.0000,-4.2809,8.5038
14.6921,3.8039,1,0,1,1,0.5630,0.0000,-9.504,-34.713,1,0.0000,-4.2809,8.5038
14.7424,3.8542,1,0,1,1,0.5831,0.0000,-9.976,-36.439,1,0.0000,-4.2809,8.5038
14.7934,3.9052,1,0,1,1,0.6032,0.0000,-10.442,-38.142,1,0.0000,-4.2809,8.5038
14.8440,3.9558,1,0,1,1,0.6235,0.0000,-10.903,-39.824,1,0.0000,-4.2809,8.5038
14.8943,4.0061,1,0,1,1,0.6436,0.0000,-11.351,-41.462,1,0.0000,-4.2809,8.5038
14.9444,4.0562,1,0,1,1,0.6636,0.0000,-11.787,-43.052,1,0.0000,-4.2809,8.5038
14.9948,4.1066,1,0,1,1,0.6838,0.0000,-12.212,-44.605,1,0.0000,-4.2809,8.5038
15.0449,4.1567,1,0,1,1,0.7038,0.0000,-12.621,-46.100,1,0.0000,-4.2809,8.5038
15.0954,4.2072,1,0,1,1,0.7240,0.0000,-13.017,-47.545,1,0.0000,-4.2809,8.5038
15.1465,4.2584,1,0,1,1,0.7445,0.0000,-13.400,-48.945,1,0.0000,-4.2809,8.5038
15.1973,4.3091,1,0,1,1,0.7648,0.0000,-13.761,-50.263,1,0.0000,-4.2809,8.5038
15.2479,4.3597,1,0,1,1,0.7850,0.0000,-14.100,-51.501,1,0.0000,-4.2809,8.5038
15.2984,4.4102,1,0,1,1,0.8046,-0.7000,-14.406,-52.618,1,0.0000,-4.2809,8.5038
15.3488,4.4606,1,0,1,1,0.8247,-0.7000,-14.698,-53.686,1,0.0000,-4.2809,8.5038
15.3990,4.5108,1,0,1,1,0.8448,-0.7000,-14.964,-54.657,1,0.0000,-4.2809,8.5038
15.4492,4.5610,1,0,1,1,0.8649,-0.7000,-15.203,-55.529,1,0.0000,-4.2809,8.5038
15.4997,4.6115,1,0,1,1,0.8851,-0.7000,-15.415,-56.304,1,0.0000,-4.2809,8.5038
15.5513,4.6631,1,0,1,1,0.9057,-0.7000,-15.600,-56.982,1,0.0000,-4.2809,8.5038
15.6019,4.7137,1,0,1,1,0.9260,-0.7000,-15.750,-57.528,1,0.0000,-4.2809,8.5038
15.6524,4.7642,1,0,1,1,0.9462,-0.7000,-15.866,-57.952,1,0.0000,-4.2809,8.5038
15.7027,4.8145,1,0,1,1,0.9663,-0.7000,-15.947,-58.247,1,0.0000,-4.2809,8.5038
15.7541,4.8659,1,0,1,1,0.9868,-0.7000,-15.992,-58.412,1,0.0000,-4.2809,8.5038
15.8052,4.9170,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
15.8566,4.9684,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
15.9070,5.0188,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
15.9575,5.0693,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
16.0085,5.1203,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
16.0590,5.1708,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
16.1105,5.2223,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
16.1608,5.2726,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
16.2111,5.3229,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
16.2621,5.3739,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
16.3127,5.4245,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
16.3633,5.4751,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
16.4138,5.5256,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
16.4639,5.5757,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
16.5146,5.6264,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
16.5655,5.6773,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
16.6162,5.7280,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
16.6671,5.7789,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
16.7191,5.8309,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
16.7709,5.8827,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
16.8216,5.9334,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
16.8729,5.9847,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
16.9233,6.0351,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
16.9741,6.0859,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
17.0257,6.1375,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
17.0768,6.1886,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
17.1274,6.2392,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
17.1779,6.2897,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
17.2291,6.3409,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
17.2794,6.3912,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
17.3295,6.4413,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
17.3802,6.4920,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
17.4303,6.5422,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
17.4807,6.5925,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
17.5313,6.6431,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
17.5830,6.6948,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
17.6333,6.7451,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
17.6842,6.7960,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
17.7345,6.8463,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
17.7854,6.8972,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
17.8364,6.9482,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
17.8870,6.9988,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
17.9377,7.0495,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
17.9893,7.1011,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
18.0395,7.1513,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
18.0906,7.2024,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
18.1409,7.2527,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
18.1918,7.3036,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
18.2426,7.3544,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
18.2934,7.4052,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
18.3440,7.4558,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
18.3943,7.5061,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
18.4445,7.5563,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
18.4949,7.6067,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
18.5458,7.6576,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
18.5968,7.7086,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
18.6477,7.7595,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
18.6993,7.8111,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
18.7520,7.8638,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
18.8027,7.9145,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
18.8536,7.9654,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
18.9047,8.0165,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
18.9554,8.0672,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
19.0065,8.1183,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
19.0575,8.1694,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
19.1082,8.2200,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
19.1594,8.2712,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
19.2114,8.3232,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
19.2621,8.3739,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
19.3133,8.4252,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
19.3645,8.4763,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
19.4158,8.5276,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
19.4658,8.5776,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
