time,elapsed,host,local,round,held,charge,spin,torso,arm,shoeState,shoeSpin,bodyX,bodyZ
13.6272,2.4687,0,2,1,1,0.1520,0.0000,-0.996,-3.638,1,0.0000,-2.7678,8.8064
13.6780,2.5195,0,2,1,1,0.1723,0.0000,-1.261,-4.605,1,0.0000,-2.9166,8.7767
13.7283,2.5698,0,2,1,1,0.1924,0.0000,-1.549,-5.657,1,0.0000,-3.0159,8.7568
13.7797,2.6213,0,2,1,1,0.2179,0.0000,-1.948,-7.114,1,0.0000,-3.1647,8.7271
13.8302,2.6717,0,2,1,1,0.2380,0.0000,-2.288,-8.358,1,0.0000,-3.2639,8.7072
13.8806,2.7221,0,2,1,1,0.2582,0.0000,-2.649,-9.676,1,0.0000,-3.4128,8.6774
13.9309,2.7724,0,2,1,1,0.2783,0.0000,-3.028,-11.062,1,0.0000,-3.5120,8.6576
13.9811,2.8227,0,2,1,1,0.2986,0.0000,-3.427,-12.517,1,0.0000,-3.6609,8.6278
14.0312,2.8727,0,2,1,1,0.3188,0.0000,-3.841,-14.030,1,0.0000,-3.7601,8.6080
14.0818,2.9233,0,2,1,1,0.3392,0.0000,-4.273,-15.608,1,0.0000,-3.9090,8.5782
14.1325,2.9740,0,2,1,1,0.3594,0.0000,-4.716,-17.224,1,0.0000,-4.0082,8.5584
14.1827,3.0242,0,2,1,1,0.3795,0.0000,-5.165,-18.864,1,0.0000,-4.1571,8.5286
14.2331,3.0747,0,2,1,1,0.3997,0.0000,-5.625,-20.547,1,0.0000,-4.2563,8.5087
14.2836,3.1251,0,2,1,1,0.4200,0.0000,-6.097,-22.270,1,0.0000,-4.3173,8.4965
14.3336,3.1751,0,2,1,1,0.4400,0.0000,-6.568,-23.990,1,0.0000,-4.2965,8.5007
14.3842,3.2257,0,2,1,1,0.4603,0.0000,-7.048,-25.744,1,0.0000,-4.2838,8.5032
14.4347,3.2763,0,2,1,1,0.4805,0.0000,-7.532,-27.512,1,0.0000,-4.2817,8.5037
14.4855,3.3270,0,2,1,1,0.5008,0.0000,-8.019,-29.290,1,0.0000,-4.2810,8.5038
14.5362,3.3777,0,2,1,1,0.5211,0.0000,-8.506,-31.068,1,0.0000,-4.2809,8.5038
14.5864,3.4279,0,2,1,1,0.5411,0.0000,-8.985,-32.819,1,0.0000,-4.2809,8.5038
14.6373,3.4788,0,2,1,1,0.5615,0.0000,-9.469,-34.586,1,0.0000,-4.2809,8.5038
14.6888,3.5303,0,2,1,1,0.5821,0.0000,-9.953,-36.354,1,0.0000,-4.2809,8.5038
14.7390,3.5805,0,2,1,1,0.6017,0.0000,-10.407,-38.011,1,0.0000,-4.2809,8.5038
14.7896,3.6311,0,2,1,1,0.6219,0.0000,-10.868,-39.697,1,0.0000,-4.2809,8.5038
14.8400,3.6815,0,2,1,1,0.6421,0.0000,-11.318,-41.339,1,0.0000,-4.2809,8.5038
14.8902,3.7317,0,2,1,1,0.6621,0.0000,-11.755,-42.936,1,0.0000,-4.2809,8.5038
14.9407,3.7822,0,2,1,1,0.6824,0.0000,-12.183,-44.498,1,0.0000,-4.2809,8.5038
14.9917,3.8333,0,2,1,1,0.7026,0.0000,-12.596,-46.010,1,0.0000,-4.2809,8.5038
15.0427,3.8842,0,2,1,1,0.7228,0.0000,-12.994,-47.460,1,0.0000,-4.2809,8.5038
15.0931,3.9347,0,2,1,1,0.7430,0.0000,-13.373,-48.846,1,0.0000,-4.2809,8.5038
15.1441,3.9856,0,2,1,1,0.7634,0.0000,-13.736,-50.173,1,0.0000,-4.2809,8.5038
15.1943,4.0358,0,2,1,1,0.7835,0.0000,-14.074,-51.408,1,0.0000,-4.2809,8.5038
15.2446,4.0861,0,2,1,1,0.8030,-0.7000,-14.382,-52.533,1,0.0000,-4.2809,8.5038
15.2951,4.1366,0,2,1,1,0.8232,-0.7000,-14.677,-53.609,1,0.0000,-4.2809,8.5038
15.3452,4.1867,0,2,1,1,0.8433,-0.7000,-14.944,-54.586,1,0.0000,-4.2809,8.5038
15.3953,4.2368,0,2,1,1,0.8633,-0.7000,-15.185,-55.465,1,0.0000,-4.2809,8.5038
15.4459,4.2874,0,2,1,1,0.8836,-0.7000,-15.400,-56.249,1,0.0000,-4.2809,8.5038
15.4959,4.3375,0,2,1,1,0.9036,-0.7000,-15.582,-56.916,1,0.0000,-4.2809,8.5038
15.5466,4.3882,0,2,1,1,0.9239,-0.7000,-15.736,-57.477,1,0.0000,-4.2809,8.5038
15.5970,4.4385,0,2,1,1,0.9440,-0.7000,-15.855,-57.912,1,0.0000,-4.2809,8.5038
15.6471,4.4886,0,2,1,1,0.9640,-0.7000,-15.939,-58.220,1,0.0000,-4.2809,8.5038
15.6977,4.5392,0,2,1,1,0.9843,-0.7000,-15.988,-58.399,1,0.0000,-4.2809,8.5038
15.7478,4.5893,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
15.7983,4.6398,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
15.8486,4.6902,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
15.8995,4.7410,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
15.9501,4.7916,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
16.0015,4.8430,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
16.0522,4.8937,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
16.1027,4.9442,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
16.1530,4.9946,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
16.2041,5.0456,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
16.2544,5.0959,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
16.3050,5.1465,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
16.3552,5.1967,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
16.4055,5.2471,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
16.4556,5.2971,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
16.5064,5.3479,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
16.5569,5.3984,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
16.6075,5.4490,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
16.6587,5.5002,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
16.7092,5.5507,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
