time,elapsed,local,host,charge,windup,active,remaining,circles,sky,frontStun,rearStun,casterStun,frontElement,centreX,centreZ,casterX,casterZ,gameTime,realTime,frameDelta,frontX,frontZ,rearX,rearZ,phaister
41.4866079582794,19.6767,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0598685870181406,3.45332850606576,0.003307703,0,0,0,7,0
41.594669071935,19.79668,2,0,0,0,0,0,0,0,1.580643,0,0,6,0,0,0,-8,0.166859785997732,3.52235330606576,0.1069912,3.5,-8,0,7,0
41.6515058624892,19.83667,2,0,0,0,0,0,0,0,1.421764,0,0,6,0,0,0,-8,0.22427068452381,3.55039760606576,0.01517,3.5,-8,0,7,0
41.703720683412,19.89666,2,0,0,0,0,0,0,0,1.363803,0,0,6,0,0,0,-8,0.276952685657596,3.60150920606576,0.003093899,3.5,-8,0,7,0
41.7551865158191,19.95665,2,0,0,0,0,0,0,0,1.312113,0,0,6,0,0,0,-8,0.3284320861678,3.65273100606576,0.0028607,3.5,-8,0,7,0
41.8072312011531,20.01664,2,0,0,0,0,0,0,0,1.260022,0,0,6,0,0,0,-8,0.380458283730159,3.70578390606576,0.003875298,3.5,-8,0,7,0
41.8579986276183,20.05663,2,0,0,0,0,0,0,0,1.207469,0,0,6,0,0,0,-8,0.431249787414966,3.75554240606576,0.002513903,3.5,-8,0,7,0
41.9088310318262,20.11662,2,0,0,0,0,0,0,0,1.159464,0,0,6,0,0,0,-8,0.482037089002268,3.80696380606576,0.002913903,3.5,-8,0,7,0
41.9589482639971,20.15662,2,0,0,0,0,0,0,0,1.110107,0,0,6,0,0,0,-8,0.532032383786848,3.85625070606576,0.003140894,3.5,-8,0,7,0
42.0105459375804,20.21661,2,0,0,0,0,0,0,0,1.061965,0,0,6,0,0,0,-8,0.583119189342404,3.90802350606576,0.0053955,3.5,-8,0,7,0
42.0619590746456,20.2566,2,0,0,0,0,0,0,0,1.004321,0,0,6,0,0,0,-8,0.634023285147392,3.95849840606576,0.002781498,3.5,-8,0,7,0
42.112101638262,20.31659,2,0,0,0,0,0,0,0,0.9582196,0,0,6,0,0,0,-8,0.683669387755102,4.00812370606576,0.003575198,3.5,-8,0,7,0
42.1637961611183,20.35658,2,0,0,0,0,0,0,0,0.9069033,0,0,6,0,0,0,-8,0.734852083333333,4.05926020606576,0.002800099,3.5,-8,0,7,0
42.2165680592957,20.41657,2,0,0,0,0,0,0,0,0.8530615,0,0,6,0,0,0,-8,0.787101488095238,4.11167140606576,0.002952905,3.5,-8,0,7,0
42.2673132877991,20.45657,2,0,0,0,0,0,0,0,0.8059142,0,0,6,0,0,0,-8,0.837344288548753,4.16191150606576,0.003319501,3.5,-8,0,7,0
42.3181060823736,20.51656,2,0,0,0,0,0,0,0,0.7519999,0,0,6,0,0,0,-8,0.887634183673469,4.21211400606576,0.002819997,3.5,-8,0,7,0
42.3684068094318,20.55655,2,0,0,0,0,0,0,0,0.7048119,0,0,6,0,0,0,-8,0.937436883503401,4.26185460606576,0.003249299,3.5,-8,0,7,0
42.4213018231963,20.61654,2,0,0,0,0,0,0,0,0.6501816,0,0,6,0,0,0,-8,0.989808184523809,4.31423690606576,0.003087798,3.5,-8,0,7,0
42.4727528473021,20.67653,2,0,0,0,0,0,0,0,0.5989897,0,0,6,0,0,0,-8,1.04119048327664,4.36618560606576,0.003594395,3.5,-8,0,7,0
42.5251170977609,20.71652,2,0,0,0,0,0,0,0,0.5470579,0,0,6,0,0,0,-8,1.09355308956916,4.41784100606576,0.004250503,3.5,-8,0,7,0
42.5751571578447,20.77651,2,0,0,0,0,0,0,0,0.4959638,0,0,6,0,0,0,-8,1.14357758645125,4.46846610606576,0.0043964,3.5,-8,0,7,0
42.6252176690948,20.81651,2,0,0,0,0,0,0,0,0.4458653,0,0,6,0,0,0,-8,1.19361888463719,4.51791730606576,0.002877197,3.5,-8,0,7,0
42.6765563847342,20.8765,2,0,0,0,0,0,0,0,0.3949821,0,0,6,0,0,0,-8,1.24500508786848,4.56936000606576,0.003389002,3.5,-8,0,7,0
42.7285008907209,20.91649,2,0,0,0,0,0,0,0,0.3410162,0,0,6,0,0,0,-8,1.29694028486395,4.62128040606576,0.0026544,3.5,-8,0,7,0
42.7787139616775,20.97648,2,0,0,0,0,0,0,0,0.2920706,0,0,6,0,0,0,-8,1.34712838718821,4.67165450606576,0.002541404,3.5,-8,0,7,0
42.8287267517516,21.01647,2,0,0,0,0,0,0,0,0.2428436,0,0,6,0,0,0,-8,1.39712658730159,4.72192680606576,0.002837103,3.5,-8,0,7,0
42.8793584652369,21.07646,2,0,0,0,0,0,0,0,0.1919785,0,0,6,0,0,0,-8,1.44775908446712,4.77213210606576,0.002677197,3.5,-8,0,7,0
42.9303524450803,21.11646,2,0,0,0,0,0,0,0,0.1395191,0,0,6,0,0,0,-8,1.49877448270975,4.82297670606576,0.002592396,3.5,-8,0,7,0
42.9814219219059,21.17645,2,0,0,0,0,0,0,0,0.08868726,0,0,6,0,0,0,-8,1.54947178287982,4.87368340606576,0.002418998,3.5,-8,0,7,0
43.0327774946469,21.23643,2,0,0,0,0,0,0,0,0.03997956,0,0,6,0,0,0,-8,1.60031888463719,4.92545190606576,0.003036997,3.5,-8,0,7,0
43.0838953113424,21.27643,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,1.65093058390023,4.97555930606576,0.006652098,3.5,-8,0,7,0
43.1341667514698,21.33642,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,1.70070428713152,5.02575950606576,0.002753302,3.5,-8,0,7,0
43.1858338056443,21.37641,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,1.75185978599773,5.07614680606576,0.002540901,3.5,-8,0,7,0
43.2394241037647,21.4364,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,1.80491948696145,5.12921360606576,0.0038688,3.5,-8,0,7,0
43.2915683817522,21.47639,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,1.85654748441043,5.18103490606576,0.0030402,3.5,-8,0,7,0
43.342909511736,21.53638,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,1.90738028628118,5.23171940606576,0.003268601,3.5,-8,0,7,0
