time,elapsed,local,host,charge,windup,active,remaining,circles,sky,frontStun,rearStun,casterStun,frontElement,centreX,centreZ,casterX,casterZ,gameTime,realTime,frameDelta,frontX,frontZ,rearX,rearZ,phaister
21.9240937266324,0.05998993,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,18.8851806264172,21.9333764012472,0.0561815,3.5,-8,0,7,1
21.9784133483667,0.09998322,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,18.9389624291383,21.9819871012472,0.0537818,3.5,-8,0,7,1
22.0288473561301,0.1599731,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,18.9894449263039,22.0299561012472,0.004075595,3.5,-8,0,7,1
22.0794801487925,0.2199631,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,19.0400360260771,22.0819290012472,0.005169097,3.5,-8,0,7,1
22.1299468955526,0.2599564,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,19.0904868268141,22.1312407012472,0.005073101,3.5,-8,0,7,1
22.1834635109489,0.3199463,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,19.1440385274943,22.1861444012472,0.005217297,3.5,-8,0,7,1
22.2341774468927,0.3599396,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,19.194760728458,22.2350729012472,0.004515604,3.5,-8,0,7,1
22.2842609955056,0.4199295,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,19.2448652281746,22.2853139012472,0.004276502,3.5,-8,0,7,1
22.3362565100275,0.4599228,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,19.2968321286848,22.3374145012472,0.002974199,3.5,-8,0,7,1
22.3889694578585,0.5199127,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,19.3495554280045,22.3899485012472,0.004545897,3.5,-8,0,7,1
22.4403276876023,0.5799026,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,19.4008951247166,22.4421755012472,0.003712096,3.5,-8,0,7,1
22.4939776501793,0.6198959,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,19.4545712301587,22.4950142012472,0.005158199,3.5,-8,0,7,1
22.5464219385164,0.6798859,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,19.5069620252268,22.5474188012472,0.005114895,3.5,-8,0,7,1
22.5973842783237,0.7198792,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,19.5579542304422,22.5995418012472,0.0041393,3.5,-8,0,7,1
22.6474948199454,0.7798691,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,19.608116425737,22.6483618012472,0.006616298,3.5,-8,0,7,1
22.700745566421,0.839859,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,19.6613249291383,22.7027046012472,0.003379401,3.5,-8,0,7,1
