time,elapsed,host,local,possessed,devouring,x,y,z,bodyX,bodyZ,fieldX,fieldZ,fieldCount,s2active,ultactive,s2charges,ultcharge,modelX,modelZ,sourceCharges,sourceX,sourceZ,stunLeft,mashPresses,tripPresses,petYaw
10.8532,0.0000,0,2,0,0,0.0176,1.2052,3.5099,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6891
10.9036,0.0504,0,2,0,0,0.1945,1.2120,1.8580,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6888
10.9552,0.1020,0,2,0,0,0.3566,1.2187,0.3456,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6887
11.0063,0.1531,0,2,0,0,0.5174,1.2262,-1.1526,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6887
11.0568,0.2036,0,2,0,0,0.6776,1.2322,-2.6446,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6888
11.1070,0.2538,0,2,0,0,0.8351,1.2314,-4.1092,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6889
11.1572,0.3040,0,2,0,0,0.9722,1.2247,-5.3834,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6890
11.2077,0.3545,0,2,0,0,1.0695,1.2168,-6.2857,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6892
11.2583,0.4051,0,2,0,0,1.1305,1.2112,-6.8513,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6893
11.3087,0.4555,0,2,0,0,1.1678,1.2085,-7.1961,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6895
11.3597,0.5065,0,2,0,0,1.1894,1.2088,-7.3966,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6896
11.4108,0.5576,0,2,0,0,1.2016,1.2112,-7.5100,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6897
11.4613,0.6081,0,2,0,0,1.2082,1.2149,-7.5723,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6898
11.5125,0.6593,0,2,0,0,1.2117,1.2194,-7.6067,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6899
11.5636,0.7104,0,2,0,0,1.2134,1.2240,-7.6256,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6900
11.6136,0.7604,0,2,0,0,1.2140,1.2285,-7.6359,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6900
11.6637,0.8105,0,2,0,0,1.2140,1.2326,-7.6418,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6901
11.7149,0.8617,0,2,0,0,1.2137,1.2363,-7.6454,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6900
11.7661,0.9130,0,2,0,0,1.2132,1.2392,-7.6477,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6900
11.8170,0.9638,0,2,0,0,1.2124,1.2414,-7.6493,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6899
11.8678,1.0147,0,2,0,0,1.2115,1.2428,-7.6506,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6898
11.9199,1.0667,0,2,0,0,1.2105,1.2433,-7.6517,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6897
11.9707,1.1175,0,2,0,0,1.2093,1.2430,-7.6527,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6896
12.0212,1.1680,0,2,0,0,1.2081,1.2417,-7.6536,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6894
12.0720,1.2188,0,2,0,0,1.2068,1.2396,-7.6544,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6893
12.1222,1.2690,0,2,0,0,1.2054,1.2368,-7.6552,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6891
12.1730,1.3198,0,2,0,0,1.2040,1.2332,-7.6560,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6889
12.2231,1.3699,0,2,0,0,1.2025,1.2290,-7.6567,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6888
12.2738,1.4206,0,2,0,0,1.2010,1.2240,-7.6574,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6887
12.3250,1.4718,0,2,0,0,1.1994,1.2187,-7.6581,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6886
12.3763,1.5231,0,2,0,0,1.1977,1.2129,-7.6587,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6885
12.4279,1.5747,0,2,0,0,1.1960,1.2069,-7.6593,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6885
12.4792,1.6260,0,2,0,0,1.1943,1.2006,-7.6598,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6884
12.5300,1.6768,0,2,0,0,1.1926,1.1945,-7.6603,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6885
12.5807,1.7275,0,2,0,0,1.1909,1.1884,-7.6607,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6885
12.6322,1.7790,0,2,0,0,1.1892,1.1826,-7.6611,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6886
12.6823,1.8291,0,2,0,0,1.1875,1.1772,-7.6614,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6887
12.7323,1.8791,0,2,0,0,1.1859,1.1723,-7.6617,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6888
12.7829,1.9297,0,2,0,0,1.1843,1.1678,-7.6619,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6889
12.8336,1.9804,0,2,0,0,1.1827,1.1640,-7.6621,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6891
12.8843,2.0311,0,2,0,0,1.1812,1.1610,-7.6622,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6892
