time,elapsed,local,host,cheska,firstPredicted,secondPredicted,firstDenied,secondDenied,qcharges,echarges,sheets,walls,colliders,sheetX,sheetZ,wallX,wallZ,casterX,casterZ
12.2504056255892,0.01999664,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
12.3170736196823,0.07998657,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
12.3837419069931,0.1599731,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
12.4504112401046,0.2199631,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
12.5170863080211,0.279953,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
12.5837551072612,0.3599396,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
12.6504254385456,0.4199295,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
12.7170925461128,0.4799194,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
12.7838004625402,0.559906,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
12.8344489652477,0.5998993,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
12.884616433084,0.6598892,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
12.9512860848382,0.7198792,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
13.0179847352579,0.7798691,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
13.0846827120148,0.8598557,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
13.1514078301378,0.9198456,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
13.2180752341636,0.9798355,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
13.284836671073,1.059822,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
13.3515585296787,1.119812,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
13.4182897518016,1.199799,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
13.4849570586532,1.259789,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
13.551624062527,1.319778,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
13.6182915622741,1.399765,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
13.6849590545334,1.459755,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
13.751637248043,1.519745,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
13.8183044451289,1.599731,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
13.8849721242301,1.659721,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
13.9516397256963,1.719711,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
14.0183072294295,1.799698,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
14.0849749249592,1.859688,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
14.1516423270106,1.919678,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
14.2183103272133,1.999664,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
14.2849777332135,2.059654,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
14.3516452274658,2.119644,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
14.418313030228,2.199631,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
14.4849804321304,2.259621,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
14.5516481297836,2.319611,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
14.6183554340154,2.399597,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
14.6850227308087,2.459587,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
14.7516902345419,2.519577,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
14.8183578418382,2.599564,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
14.885145626273,2.659554,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
14.9518153917789,2.719543,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
15.0184833919816,2.79953,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
15.0852120095491,2.85952,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
15.1518830402568,2.91951,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
15.218550839033,2.999496,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
15.2852187335677,3.059486,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
15.3518868273869,3.119476,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
15.4185547356866,3.199463,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
15.4852792143822,3.259453,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
15.5519467181154,3.319443,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
15.618614310082,3.399429,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
15.6852819232084,3.459419,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
15.7519514635392,3.519409,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
15.8186544279568,3.599396,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
15.8853222326934,3.659386,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
15.9519904281013,3.719376,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
16.0186585278809,3.799362,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
16.0853487119079,3.859352,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
16.1520168098435,3.919342,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
16.2186849117279,3.999329,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
16.2853647456318,4.059319,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
16.3520328414254,4.119308,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
16.4187023077719,4.199295,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
16.4854440617375,4.259285,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
16.5521135761403,4.319275,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
16.6187824851461,4.399261,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
16.6854501960054,4.459251,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
16.7521488741599,4.519241,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
16.8188169699907,4.599228,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
16.8854849701934,4.659218,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
16.9521525677107,4.719208,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
17.0188206615299,4.799194,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
17.0855909764394,4.859184,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
17.1522591700964,4.919174,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
17.2189289956912,4.999161,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
17.2856870711222,5.059151,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
17.3357380751893,5.099144,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
17.3859058478847,5.159134,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
17.452574045267,5.219124,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
17.5192418421991,5.29911,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
17.5859590280242,5.3591,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
17.6526264527068,5.41909,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
17.7194153477065,5.499077,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
17.7861093710177,5.559067,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
17.8527772614732,5.619057,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
17.919501817897,5.699043,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
17.9861986510083,5.759033,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
18.052865949925,5.819023,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
18.1195746674575,5.89901,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
18.1862425619923,5.959,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
18.2531561332196,6.01899,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
18.3198234395124,6.098976,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
18.3864908361621,6.158966,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
18.4531582382135,6.218956,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
18.5031718862802,6.278946,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
18.5533390589431,6.318939,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
18.6200067581423,6.398926,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
18.686674154792,6.458916,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
18.7533415627666,6.518906,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
18.8200090589747,6.598892,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
18.8867100406066,6.658882,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
18.9533794572763,6.718872,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
19.0200473539159,6.798859,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
19.0867192855291,6.858849,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
19.1534954606369,6.918839,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
19.2201637599617,6.998825,0,1,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
