time,elapsed,local,host,zack,pick,charged,held,s2charges,ultcharge,grounded,casterY,ultRemaining,bolts,boltX,boltZ,chargeVisuals,chargedFlight,shoeState,shoeX,shoeY,shoeZ,frontStun,frontX,frontY,frontZ,magnetRemaining,wallTime
12.4517521140538,0.01999664,1,0,1,3,0,1,1,20,1,0.12,0,0,0,0,0,0,1,-2.175162,0.8322861,8.31539,0,3,0.01017132,-5,0,63925003111.2082
12.5177533345483,0.3399429,1,0,1,3,0,1,1,20,1,0.12,0,0,0,0,0,0,1,0.8229058,0.6478008,-7.712646,0,3,0.01002359,-5,0,63925003111.2738
12.5837541530468,0.4199295,1,0,1,3,0,1,1,20,1,0.12,0,0,0,0,0,0,1,0.8465279,0.4720559,-8.019959,0,3,0.01000159,-5,0,63925003111.3406
12.6497901259176,0.4799194,1,0,1,3,0,1,1,20,1,0.12,0,0,0,0,0,0,1,0.8690758,0.5213204,-8.021482,0,3,0.0100002,-5,0,63925003111.4072
12.7157903580181,0.5399094,1,0,1,3,0,1,1,20,1,0.12,0,0,0,0,0,0,1,0.8850584,0.5637431,-8.024792,0,3,0.01000002,-5,0,63925003111.474
12.7817918753996,0.6198959,1,0,1,3,0,1,1,20,1,0.12,0,0,0,0,0,0,1,0.8909437,0.5817538,-8.026741,0,3,0.009999999,-5,0,63925003111.5412
12.8477959670313,0.6798859,1,0,1,3,0,1,1,20,1,0.12,0,0,0,0,0,0,1,0.8850448,0.5638252,-8.024913,0,3,0.009999998,-5,0,63925003111.6077
12.9137960018218,0.7398758,1,0,1,3,0,1,1,20,1,0.12,0,0,0,0,0,0,1,0.8690606,0.521677,-8.021502,0,3,0.009999998,-5,0,63925003111.6744
12.9798254358023,0.8198624,1,0,1,3,0,1,1,20,1,0.12,0,0,0,0,0,0,1,0.8615158,0.530889,-7.925219,0,3,0.009999998,-5,0,63925003111.7412
13.0459290233068,0.8798523,1,0,1,3,0,1,1,20,1,0.12,0,0,0,0,0,0,1,0.7308774,0.7873896,-7.566305,0,3,0.009999998,-5,0,63925003111.8079
13.1119300464913,0.9398422,1,0,1,3,0,1,1,20,1,0.12,0,0,0,0,0,0,1,0.5554825,0.932286,-7.451477,0,3,0.009999998,-5,0,63925003111.8745
13.1779310696758,1.019829,1,0,1,3,0,1,1,20,1,0.12,0,0,0,0,0,0,1,0.5554825,0.932286,-7.451477,0,3,0.009999998,-5,0,63925003111.9414
13.2439324856363,1.079819,1,0,1,3,0,1,1,20,1,0.12,0,0,0,0,0,0,1,0.5554825,0.932286,-7.451477,0,3,0.009999998,-5,0,63925003112.007
13.3099600405619,1.139809,1,0,1,3,0,1,1,20,1,0.12,0,0,0,0,0,0,1,0.5554825,0.932286,-7.451477,0,3,0.009999998,-5,0,63925003112.0745
13.3759611633234,1.219795,1,0,1,3,0,1,1,20,1,0.12,0,0,0,0,0,0,1,0.5554825,0.932286,-7.451477,0,3,0.009999998,-5,0,63925003112.141
13.4419655463099,1.279785,1,0,1,3,0,1,1,20,1,0.12,0,0,0,0,0,0,1,0.5554825,0.932286,-7.451477,0,3,0.009999998,-5,0,63925003112.2085
13.5079662762955,1.339775,1,0,1,3,0,1,1,20,1,0.12,0,0,0,0,0,0,1,0.5554825,0.932286,-7.451477,0,3,0.009999998,-5,0,63925003112.2741
13.57396729948,1.419762,1,0,1,3,0,1,1,20,1,0.12,0,0,0,0,0,0,1,0.5554825,0.932286,-7.451477,0,3,0.009999998,-5,0,63925003112.3409
13.640060385298,1.479752,1,0,1,3,0,1,1,20,1,0.12,0,0,0,0,0,0,1,0.5554825,0.932286,-7.451477,0,3,0.009999998,-5,0,63925003112.4077
13.7060612130165,1.539742,1,0,1,3,0,1,1,20,1,0.12,0,0,0,0,0,0,1,0.5554825,0.932286,-7.451477,0,3,0.009999998,-5,0,63925003112.4745
13.772062433511,1.619728,1,0,1,3,0,1,1,20,1,0.12,0,0,0,0,0,0,1,0.5554825,0.932286,-7.451477,0,3,0.009999998,-5,0,63925003112.5411
13.8380779082701,1.659721,1,0,1,3,0,1,1,20,1,0.12,0,0,0,0,0,0,1,0.5554825,0.932286,-7.451477,0,3,0.009999998,-5,0,63925003112.6075
13.9040981387533,1.719711,1,0,1,3,0,1,1,20,1,0.12,0,0,0,0,0,0,1,0.5554825,0.932286,-7.451477,0,3,0.009999998,-5,0,63925003112.6745
13.970129354056,1.799698,1,0,1,3,0,1,1,20,1,0.12,0,0,0,0,0,0,1,0.5554825,0.932286,-7.451477,0,3,0.009999998,-5,0,63925003112.7413
14.0361379948817,1.859688,1,0,1,3,0,1,1,20,1,0.12,0,0,0,0,0,0,1,0.5554825,0.932286,-7.451477,0,3,0.009999998,-5,0,63925003112.808
14.1021387248673,1.919678,1,0,1,3,0,1,1,20,1,0.12,0,0,0,0,0,0,1,0.5554825,0.932286,-7.451477,0,3,0.009999998,-5,0,63925003112.8742
14.1681401426718,1.999664,1,0,1,3,0,1,1,20,1,0.12,0,0,0,0,0,0,1,0.5554825,0.932286,-7.451477,0,3,0.009999998,-5,0,63925003112.9415
14.2341414627433,2.059654,1,0,1,3,0,1,1,20,1,0.12,0,0,0,0,0,0,1,0.5554825,0.932286,-7.451477,0,3,0.009999998,-5,0,63925003113.0074
14.3001426832378,2.119644,1,0,1,3,0,1,1,20,1,0.12,0,0,0,0,0,0,1,0.5554825,0.932286,-7.451477,0,3,0.009999998,-5,0,63925003113.0744
14.3661438059993,2.199631,1,0,1,3,0,1,1,20,1,0.12,0,0,0,0,0,0,1,0.5554825,0.932286,-7.451477,0,3,0.009999998,-5,0,63925003113.1416
14.4321450264938,2.259621,1,0,1,3,0,1,1,20,1,0.12,0,0,0,0,0,0,1,0.5554825,0.932286,-7.451477,0,3,0.009999998,-5,0,63925003113.2079
14.4981465494074,2.319611,1,0,1,3,0,1,1,20,1,0.12,0,0,0,0,0,0,1,0.5554825,0.932286,-7.451477,0,3,0.009999998,-5,0,63925003113.2739
14.5641482622549,2.399597,1,0,1,3,0,1,1,20,1,0.12,0,0,0,0,0,0,1,0.5554825,0.932286,-7.451477,0,3,0.009999998,-5,0,63925003113.3412
14.6301512659155,2.459587,1,0,1,3,0,1,1,20,1,0.12,0,0,0,0,0,0,1,0.5554825,0.932286,-7.451477,0,3,0.009999998,-5,0,63925003113.4084
14.6961536776461,2.539574,1,0,1,3,0,1,1,20,1,0.12,0,0,0,0,0,0,1,0.5554825,0.932286,-7.451477,0,3,0.009999998,-5,0,63925003113.4741
14.7621561815776,2.61956,1,0,1,3,0,1,1,20,1,0.12,0,0,0,0,0,0,1,0.5554825,0.932286,-7.451477,0,3,0.009999998,-5,0,63925003113.5412
14.8281577026472,2.67955,1,0,1,3,0,1,1,20,1,0.12,0,0,0,0,0,0,1,0.5554825,0.932286,-7.451477,0,3,0.009999998,-5,0,63925003113.6072
14.8941587202996,2.73954,1,0,1,3,0,1,1,20,1,0.12,0,0,0,0,0,0,1,0.5554825,0.932286,-7.451477,0,3,0.009999998,-5,0,63925003113.6745
14.9601600440592,2.819527,1,0,1,3,0,1,1,20,1,0.12,0,0,0,0,0,0,1,0.5554825,0.932286,-7.451477,0,3,0.009999998,-5,0,63925003113.7418
15.0261608644016,2.879517,1,0,1,3,0,1,1,20,1,0.12,0,0,0,0,0,0,1,0.5554825,0.932286,-7.451477,0,3,0.009999998,-5,0,63925003113.8082
15.0921622803621,2.939507,1,0,1,3,0,1,1,20,1,0.12,0,0,0,0,0,0,1,0.5554825,0.932286,-7.451477,0,3,0.009999998,-5,0,63925003113.8747
15.1581632058136,3.019493,1,0,1,3,0,1,1,20,1,0.12,0,0,0,0,0,0,1,0.5554825,0.932286,-7.451477,0,3,0.009999998,-5,0,63925003113.9417
15.2241642308421,3.079483,1,0,1,3,0,1,1,20,1,0.12,0,0,0,0,0,0,1,0.5554825,0.932286,-7.451477,0,3,0.009999998,-5,0,63925003114.0082
