sample,frame_ms
0,2.040498
1,14.606600
2,1.998299
3,14.702600
4,2.035502
5,14.688100
6,2.020600
7,14.631800
8,2.033900
9,14.623310
10,2.062798
11,14.658000
12,2.106101
13,14.550200
14,2.023200
15,14.582500
16,2.041603
17,14.743400
18,2.053905
19,14.568000
20,2.036898
21,14.662710
22,2.007696
23,14.701600
24,2.081803
25,14.596400
26,2.018998
27,14.635100
28,2.051098
29,14.682500
30,2.023398
31,14.682700
32,2.110594
33,14.512400
34,2.724001
35,13.945300
36,2.505003
37,14.354290
38,2.125404
39,14.396600
40,2.046400
41,14.630400
42,2.008100
43,14.738100
44,2.016298
45,14.614800
46,2.064895
47,14.587500
48,2.021606
49,14.735590
50,2.058702
51,14.629500
52,2.081704
53,14.532500
54,2.170103
55,14.583500
56,2.094097
57,14.550600
58,2.144898
59,14.488510
60,2.002197
61,14.860800
62,2.026304
63,14.515300
64,2.023696
65,14.681700
66,1.994699
67,14.695600
68,2.032596
69,14.626300
70,2.059297
71,14.607410
72,2.036395
73,15.016500
74,2.128600
75,14.224800
76,2.069600
77,14.713500
78,1.998597
79,14.553300
80,2.060998
81,14.698300
82,2.047902
83,2.954698
84,11.602300
85,2.034701
86,14.663900
87,2.037302
88,2.978997
89,11.705000
90,2.082901
91,2.898597
92,11.676500
93,2.062798
94,2.797300
95,11.783900
96,2.029705
97,2.787394
98,11.917000
99,3.049901
100,3.127204
101,10.437600
102,2.016801
103,2.719501
104,11.931700
105,2.045897
106,3.005003
107,11.692400
108,2.079698
109,3.132696
110,11.459500
111,2.028798
112,2.675602
113,11.929000
114,2.052197
115,3.138903
116,11.567100
117,2.004996
118,2.847201
119,11.819600
120,2.002898
121,2.764399
122,11.888000
123,2.034503
124,2.909496
125,11.743800
126,2.040703
127,3.318800
128,11.374600
129,2.032696
130,2.414102
131,12.227000
132,2.040398
133,2.745606
134,11.862100
135,2.044600
136,2.845203
137,11.806400
138,2.048101
139,2.333900
140,12.258100
141,2.016801
142,2.476694
143,12.197410
144,2.057795
145,2.963903
146,11.771500
147,2.027501
148,2.775397
149,11.738300
150,2.041504
151,2.412897
152,12.306400
153,2.034800
154,2.712805
155,12.002490
156,2.042999
157,2.953805
158,11.632900
159,2.116298
160,2.618601
161,11.884500
162,2.030300
163,2.833100
164,12.055800
165,2.002601
166,14.621190
167,2.085402
168,2.748498
169,11.807900
170,1.919501
171,3.173604
172,11.605400
173,2.013095
174,2.804804
175,11.865890
176,2.005003
177,14.660100
178,2.530400
179,2.943403
180,11.226200
181,1.986005
182,3.036501
183,11.628100
184,2.024497
185,14.733400
186,2.727601
187,3.831101
188,2.314697
189,8.133504
190,2.069898
191,14.210700
192,2.002501
193,2.787897
194,2.214902
195,9.615398
196,2.348498
197,14.329710
198,1.968899
199,2.838598
200,2.175503
201,9.758000
202,2.016199
203,14.598900
204,2.017907
205,2.765200
206,2.284297
207,9.611302
208,2.026495
209,14.726800
210,2.446804
211,3.248796
212,2.582802
213,8.370301
214,2.200801
215,14.433700
216,1.964994
217,2.709701
218,2.269402
219,9.783298
220,2.064300
221,14.623800
222,2.013598
223,2.676098
224,1.994402
225,9.973498
