sample,frame_ms
0,2.701304
1,13.960800
2,2.635098
3,14.100300
4,2.675694
5,13.959500
6,2.734602
7,13.966500
8,2.688102
9,13.978900
10,2.723505
11,13.988800
12,2.719600
13,13.931900
14,2.690101
15,14.123700
16,2.681300
17,13.916000
18,2.715299
19,13.923310
20,2.717396
21,13.957800
22,2.691100
23,14.024500
24,2.782001
25,13.911600
26,15.029600
27,3.014704
28,4.950297
29,10.350400
30,2.741001
31,13.914610
32,2.717297
33,13.999900
34,2.702402
35,14.056200
36,2.687897
37,13.856200
38,2.676800
39,14.051000
40,2.669303
41,13.991500
42,2.687301
43,14.033300
44,2.705704
45,13.958300
46,2.684899
47,14.001900
48,2.698902
49,13.983700
50,2.697995
51,13.998310
52,2.694296
53,13.978700
54,2.741504
55,13.888200
56,2.717000
57,14.001700
58,2.712698
59,13.972200
60,2.701396
61,13.956700
62,2.696599
63,14.070500
64,2.701701
65,13.912900
66,2.704904
67,14.002200
68,2.742404
69,13.920200
70,2.708702
71,14.024300
72,2.701998
73,13.960300
74,2.701297
75,13.968700
76,2.779500
77,13.907310
78,2.702997
79,14.027100
80,2.683404
81,13.924500
82,2.698101
83,14.015300
84,2.711302
85,13.943500
86,2.725694
87,13.979900
88,2.693700
89,14.026500
90,2.687606
91,13.985000
92,2.730499
93,13.934200
94,2.687202
95,13.998200
96,2.648696
97,14.012900
98,2.720699
99,13.989400
100,2.758603
101,13.949900
102,2.720295
103,13.918700
104,2.702005
105,14.031400
106,2.700298
107,13.971800
108,2.687500
109,13.966890
110,2.705506
111,14.104100
112,2.720401
113,13.853800
114,2.706803
115,13.967200
116,2.735204
117,13.992800
118,2.748200
119,13.880900
120,2.728203
121,13.987700
122,2.690200
123,13.992300
124,2.757200
125,13.953600
126,2.728004
127,13.937190
128,2.744806
129,13.909400
130,2.743502
131,13.993100
132,2.745600
133,13.898510
134,2.712500
135,13.933100
136,2.715597
137,13.976700
138,2.729202
139,13.953900
140,2.732299
141,13.975100
142,2.740802
143,13.929300
144,2.735700
145,13.902000
146,2.718800
147,14.020000
148,2.719898
149,14.018600
150,2.743098
151,13.891000
152,2.719296
153,13.951910
154,2.681201
155,14.003900
156,2.745897
157,13.974310
158,2.741199
159,13.917590
160,2.720805
161,13.942200
162,2.732497
163,13.928810
164,2.736699
165,14.002600
166,2.726197
167,13.934600
168,2.760700
169,13.867100
170,2.702197
171,14.038000
172,2.731002
173,13.922700
174,2.734198
175,13.972100
176,2.734503
177,13.998800
178,2.744005
179,13.866690
