time,elapsed,local,host,charge,windup,active,remaining,circles,sky,frontStun,rearStun,casterStun,frontElement,centreX,centreZ,casterX,casterZ,gameTime,realTime,frameDelta,frontX,frontZ,rearX,rearZ
15.520676471272,1.819695,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,11.7306118268141,15.5214535047619,0.003163195,3.5,-8,0,7
15.571713501059,1.879684,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,11.7816056264172,15.5733142047619,0.004591397,3.5,-8,0,7
15.626522000113,1.919678,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,11.8363875283447,15.6276486047619,0.004987798,3.5,-8,0,7
15.6790133009315,1.979668,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,11.8889767290249,15.6800778047619,0.006296896,3.5,-8,0,7
15.7314342281502,2.039658,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,11.9413410289116,15.7330435047619,0.002854599,3.5,-8,0,7
15.7841740162019,2.079651,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,11.9940961309524,15.7851363047619,0.002868098,3.5,-8,0,7
15.8359630960505,2.139641,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,12.0459152281746,15.8368503047619,0.0043768,3.5,-8,0,7
15.8883778665424,2.179634,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,12.0982664328231,15.8893409047619,0.003436402,3.5,-8,0,7
15.942060582065,2.239624,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,12.1519707270408,15.9440159047619,0.003948696,3.5,-8,0,7
15.9928079711925,2.299614,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,12.2027514314059,15.9946755047619,0.003594905,3.5,-8,0,7
16.0450556691107,2.339607,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,12.2549606292517,16.0468854047619,0.003424298,3.5,-8,0,7
16.0972450469434,2.399597,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,12.3071680272109,16.0982066047619,0.004060396,3.5,-8,0,7
16.1500563529274,2.43959,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,12.3599367276077,16.1509631047619,0.005352098,3.5,-8,0,7
16.2026889931643,2.49958,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,12.4126372307256,16.2037030047619,0.003623505,3.5,-8,0,7
16.2558263927652,2.55957,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,12.4657089285714,16.2569538047619,0.005283496,3.5,-8,0,7
16.3072086926992,2.599564,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,12.517112627551,16.3082323047619,0.004002501,3.5,-8,0,7
16.3575046505686,2.659554,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,12.5674296272676,16.3583681047619,0.0038357,3.5,-8,0,7
16.4075430170191,2.699547,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,12.6174281320862,16.4092466047619,0.003160303,3.5,-8,0,7
16.4609299760126,2.759537,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,12.6708345308957,16.4621223047619,0.004567099,3.5,-8,0,7
16.5119167814264,2.819527,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,12.7217776289683,16.5139021047619,0.006179698,3.5,-8,0,7
16.5635833098437,2.85952,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,12.7734091269841,16.5643174047619,0.003803997,3.5,-8,0,7
16.6155661354889,2.91951,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,12.8255191326531,16.6183797047619,0.0053553,3.5,-8,0,7
16.6663442408014,2.959503,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,12.8762315263605,16.6674440047619,0.003326899,3.5,-8,0,7
16.7182011713227,3.019493,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,12.9281517290249,16.7194239047619,0.004921599,3.5,-8,0,7
16.7700542662083,3.059486,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,12.9799336309524,16.7714022047619,0.003701601,3.5,-8,0,7
16.8234076938964,3.119476,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,13.0333506306689,16.8245720047619,0.005879004,3.5,-8,0,7
16.880305025964,3.179466,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,13.0902682327098,16.8817620047619,0.007815802,3.5,-8,0,7
16.9313521624915,3.239456,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,13.1412720308957,16.9345299047619,0.003216504,3.5,-8,0,7
16.9835917728767,3.279449,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,13.1934765306122,16.9849463047619,0.003264605,3.5,-8,0,7
17.0376071410044,3.339439,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,13.247515327381,17.0393456047619,0.004257696,3.5,-8,0,7
17.0899011472566,3.379433,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,13.2998488307823,17.0911726047619,0.003998299,3.5,-8,0,7
17.1445788411913,3.439423,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,13.3545122307256,17.1469207047619,0.005032604,3.5,-8,0,7
17.1967396149761,3.499413,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,13.4066310303288,17.1977513047619,0.004573802,3.5,-8,0,7
17.2474044600106,3.539406,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,13.4573191326531,17.2491866047619,0.003623802,3.5,-8,0,7
17.2990733479708,3.599396,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,13.5089912273243,17.3000511047619,0.004021096,3.5,-8,0,7
